attendance_id,emp_id,attendance_date,status
283,277,11-02-24,WFH
284,98,08-01-24,WFH
285,153,19-01-24,Absent
286,146,08-01-24,WFH
287,308,14-02-24,WFH
288,467,13-02-24,WFH
289,68,25-01-24,Present
290,94,06-02-24,WFH
291,25,07-02-24,Absent
292,249,14-01-24,Present
293,160,07-01-24,WFH
294,402,20-02-24,Absent
295,26,15-02-24,WFH
296,414,25-02-24,Present
297,252,01-03-24,Present
298,448,02-01-24,WFH
299,401,24-01-24,Absent
300,169,30-01-24,Absent
301,138,22-02-24,Absent
302,485,01-01-24,Present
303,466,05-01-24,Present
304,308,15-02-24,Present
305,222,18-01-24,Absent
306,244,13-01-24,Absent
307,330,03-01-24,Absent
308,184,28-02-24,Absent
309,107,10-02-24,Present
310,143,28-02-24,Absent
311,281,16-02-24,Absent
312,372,01-02-24,WFH
313,90,18-01-24,Present
314,500,17-02-24,Present
315,25,09-01-24,Absent
316,384,31-01-24,WFH
317,400,11-01-24,WFH
318,252,09-02-24,Present
319,104,17-01-24,Present
320,237,11-02-24,Present
321,275,24-01-24,WFH
322,38,25-01-24,WFH
323,20,13-02-24,Absent
324,357,29-02-24,Absent
325,226,04-01-24,Absent
326,136,05-02-24,WFH
327,32,08-02-24,WFH
328,492,24-01-24,Present
329,238,01-02-24,Present
330,415,11-01-24,WFH
331,221,14-01-24,Absent
332,6,18-01-24,Absent
333,391,08-02-24,Present
334,310,19-01-24,Absent
335,294,02-01-24,Present
336,128,19-02-24,Present
337,112,08-02-24,Present
338,30,28-01-24,Present
339,176,30-01-24,Present
340,308,27-02-24,Absent
341,21,02-01-24,Absent
342,188,03-02-24,Present
343,305,28-01-24,Absent
344,5,27-02-24,Absent
345,241,02-01-24,Present
346,418,03-02-24,WFH
347,63,24-01-24,Present
348,71,03-02-24,Absent
349,228,22-02-24,WFH
350,356,24-01-24,Absent
351,179,22-02-24,WFH
352,348,04-01-24,Absent
353,3,29-02-24,Present
354,223,29-01-24,Present
355,43,09-02-24,Present
356,291,29-02-24,Absent
357,104,09-01-24,WFH
358,72,06-02-24,WFH
359,107,21-02-24,Present
360,477,23-02-24,Absent
361,286,16-02-24,Present
362,53,23-02-24,Absent
363,116,25-01-24,WFH
364,499,17-01-24,Present
365,292,14-01-24,WFH
366,242,22-01-24,WFH
367,217,14-01-24,Present
368,13,28-01-24,Absent
369,461,26-01-24,Absent
370,201,28-01-24,Absent
371,170,27-01-24,Present
372,422,04-02-24,WFH
373,307,10-01-24,Absent
374,201,16-02-24,Absent
375,208,09-01-24,WFH
376,377,09-02-24,WFH
377,441,29-01-24,Present
378,272,27-01-24,WFH
379,219,08-02-24,Absent
380,77,11-02-24,Absent
381,399,01-02-24,Present
382,271,22-01-24,Present
383,384,04-02-24,Present
384,311,28-02-24,Absent
385,325,02-01-24,Absent
386,101,01-03-24,Present
387,165,08-02-24,Present
388,396,25-02-24,Present
389,427,25-02-24,Present
390,116,29-01-24,Present
391,388,27-02-24,Present
392,142,22-02-24,Absent
393,454,03-01-24,Present
394,385,20-02-24,Present
395,476,14-01-24,Absent
396,195,28-02-24,Absent
397,429,30-01-24,Present
398,326,02-02-24,WFH
399,346,03-01-24,WFH
400,80,20-02-24,WFH
401,30,22-01-24,WFH
402,259,11-01-24,Absent
403,319,14-02-24,Present
404,187,30-01-24,Absent
405,267,22-01-24,WFH
406,260,29-01-24,Absent
407,410,21-02-24,Present
408,183,20-01-24,Absent
409,298,26-01-24,WFH
410,61,01-01-24,WFH
411,107,04-01-24,WFH
412,18,11-01-24,Absent
413,265,14-01-24,WFH
414,218,18-01-24,Absent
415,406,01-02-24,Absent
416,458,25-02-24,Present
417,195,25-01-24,Absent
418,389,06-02-24,Present
419,397,22-02-24,Absent
420,78,16-01-24,WFH
421,222,10-01-24,Present
422,377,02-02-24,Present
423,311,05-02-24,Absent
424,152,10-02-24,Present
425,322,23-01-24,Present
426,355,31-01-24,WFH
427,469,25-02-24,WFH
428,292,04-01-24,Absent
429,278,03-02-24,WFH
430,284,29-01-24,WFH
431,71,20-01-24,Present
432,158,04-02-24,Absent
433,22,13-01-24,Present
434,103,08-01-24,Present
435,320,10-02-24,Present
436,3,23-01-24,Present
437,373,17-01-24,Absent
438,343,29-02-24,Absent
439,34,29-01-24,WFH
440,456,16-02-24,WFH
441,105,09-01-24,Present
442,369,12-02-24,WFH
443,112,04-02-24,Present
444,81,18-01-24,Present
445,445,25-01-24,Absent
446,415,22-01-24,WFH
447,309,26-01-24,WFH
448,171,17-02-24,Absent
449,78,14-02-24,WFH
450,23,01-03-24,WFH
451,166,13-01-24,Present
452,405,09-01-24,WFH
453,180,01-03-24,Present
454,358,04-01-24,Absent
455,31,03-01-24,WFH
456,251,05-02-24,WFH
457,472,28-01-24,Present
458,427,08-01-24,WFH
459,21,01-02-24,Absent
460,22,03-02-24,WFH
461,189,28-02-24,Present
462,83,24-02-24,Present
463,370,01-01-24,WFH
464,389,14-02-24,Absent
465,148,23-01-24,WFH
466,265,12-01-24,Present
467,464,11-02-24,WFH
468,347,01-01-24,Present
469,471,15-01-24,Present
470,181,27-02-24,Absent
471,188,25-01-24,Absent
472,36,06-01-24,WFH
473,291,26-01-24,Present
474,66,10-01-24,WFH
475,440,12-02-24,Absent
476,350,10-01-24,Present
477,69,17-01-24,WFH
478,189,27-01-24,Absent
479,178,29-02-24,Absent
480,272,25-01-24,Absent
481,381,17-02-24,Absent
482,177,08-02-24,Present
483,113,06-01-24,WFH
484,7,15-01-24,WFH
485,66,20-02-24,Present
486,399,14-02-24,Present
487,11,04-01-24,WFH
488,170,17-01-24,WFH
489,352,14-01-24,Present
490,53,29-01-24,Present
491,497,13-01-24,WFH
492,428,23-01-24,Absent
493,111,03-01-24,Absent
494,126,07-02-24,Absent
495,269,15-02-24,WFH
496,179,23-02-24,WFH
497,467,01-01-24,WFH
498,264,22-01-24,WFH
499,5,06-02-24,WFH
500,260,08-01-24,Present
501,324,13-01-24,WFH
502,24,14-02-24,Present
503,374,27-01-24,Present
504,105,05-02-24,WFH
505,381,29-02-24,Present
506,260,15-02-24,Present
507,500,24-01-24,Present
508,275,06-02-24,Absent
509,80,05-02-24,Absent
510,276,27-02-24,Present
511,379,15-01-24,Present
512,146,24-02-24,WFH
513,105,12-01-24,Absent
514,428,28-01-24,Absent
515,198,25-02-24,WFH
516,91,10-01-24,WFH
517,477,12-02-24,Present
518,32,15-02-24,Present
519,377,05-01-24,Absent
520,179,24-02-24,Absent
521,74,16-02-24,Absent
522,439,14-01-24,Absent
523,410,21-02-24,Present
524,119,28-02-24,Absent
525,156,27-01-24,Absent
526,496,06-02-24,Present
527,380,24-02-24,Absent
528,265,25-02-24,WFH
529,325,17-01-24,Present
530,403,19-02-24,Absent
531,163,20-01-24,WFH
532,254,21-02-24,Present
533,137,18-01-24,Absent
534,184,21-01-24,WFH
535,78,23-01-24,Absent
536,412,12-01-24,Present
537,86,28-02-24,Present
538,360,19-02-24,Present
539,457,24-02-24,Absent
540,47,22-02-24,Present
541,428,19-01-24,Present
542,209,09-01-24,Absent
543,305,19-01-24,Present
544,39,17-01-24,Absent
545,203,26-01-24,Present
546,56,30-01-24,WFH
547,88,19-02-24,WFH
548,413,01-01-24,Present
549,315,09-01-24,Absent
550,366,16-01-24,Present
551,281,01-03-24,Absent
552,36,05-01-24,Present
553,492,31-01-24,WFH
554,300,09-02-24,WFH
555,280,25-01-24,WFH
556,108,07-02-24,Present
557,176,06-02-24,Absent
558,300,01-03-24,Absent
559,118,22-01-24,Present
560,32,21-02-24,Present
561,32,08-02-24,Present
562,160,08-01-24,Present
563,168,14-01-24,Present
564,198,22-01-24,Present
565,277,02-02-24,Absent
566,360,18-01-24,Present
567,55,22-01-24,Present
568,419,20-01-24,WFH
569,174,18-01-24,Present
570,456,29-01-24,Absent
571,173,25-01-24,Absent
572,187,11-02-24,Absent
573,167,28-01-24,WFH
574,449,30-01-24,WFH
575,318,03-02-24,WFH
576,381,25-02-24,Absent
577,318,24-01-24,Absent
578,251,17-02-24,Absent
579,83,21-01-24,Absent
580,209,09-01-24,Present
581,133,21-01-24,Present
582,145,04-02-24,Absent
583,147,07-01-24,WFH
584,49,07-01-24,Present
585,211,24-02-24,WFH
586,113,06-02-24,Present
587,268,01-03-24,WFH
588,499,22-02-24,Present
589,484,29-01-24,WFH
590,345,16-01-24,WFH
591,32,10-01-24,WFH
592,243,01-03-24,Absent
593,68,21-01-24,Absent
594,209,31-01-24,Absent
595,305,01-03-24,Present
596,442,27-01-24,Absent
597,20,05-01-24,WFH
598,249,07-01-24,Absent
599,271,24-02-24,Present
600,77,09-02-24,Absent
601,297,22-01-24,Absent
602,138,20-02-24,Present
603,305,06-02-24,Absent
604,279,01-03-24,Absent
605,380,23-02-24,Absent
606,421,07-01-24,Present
607,465,07-02-24,Present
608,441,15-01-24,WFH
609,107,17-02-24,Present
610,424,08-02-24,Absent
611,313,21-02-24,Present
612,163,24-01-24,WFH
613,389,11-02-24,Absent
614,351,27-01-24,WFH
615,41,24-02-24,WFH
616,296,27-02-24,WFH
617,22,17-01-24,Absent
618,8,26-02-24,Present
619,442,11-02-24,Absent
620,156,14-01-24,Absent
621,60,28-01-24,WFH
622,158,05-01-24,Present
623,226,23-01-24,WFH
624,271,17-02-24,Absent
625,92,07-02-24,Present
626,300,23-01-24,WFH
627,248,22-01-24,Absent
628,246,21-02-24,Absent
629,283,01-03-24,WFH
630,228,08-01-24,Present
631,200,28-01-24,Present
632,220,08-01-24,Absent
633,279,28-01-24,WFH
634,190,15-01-24,Present
635,185,01-03-24,WFH
636,291,03-02-24,WFH
637,456,11-01-24,Present
638,457,20-02-24,WFH
639,399,09-01-24,WFH
640,296,30-01-24,Present
641,172,20-02-24,Present
642,206,15-01-24,WFH
643,345,13-01-24,Absent
644,384,30-01-24,Absent
645,499,17-01-24,Present
646,295,02-02-24,Absent
647,254,13-01-24,Absent
648,412,23-02-24,Absent
649,221,01-01-24,WFH
650,41,20-01-24,Absent
651,492,01-03-24,Present
652,490,11-02-24,WFH
653,151,29-02-24,Absent
654,241,24-01-24,Present
655,228,03-01-24,Absent
656,310,23-02-24,Absent
657,464,19-02-24,Absent
658,420,24-01-24,Absent
659,239,01-01-24,WFH
660,277,29-01-24,Present
661,262,20-02-24,Absent
662,353,25-01-24,WFH
663,60,23-02-24,Present
664,209,29-01-24,Present
665,190,26-01-24,WFH
666,347,15-02-24,WFH
667,171,14-01-24,Present
668,60,18-01-24,WFH
669,460,31-01-24,WFH
670,379,27-02-24,Present
671,204,07-02-24,Present
672,447,01-02-24,WFH
673,450,18-02-24,WFH
674,287,12-02-24,Present
675,36,21-01-24,Present
676,324,02-02-24,WFH
677,300,14-02-24,Present
678,134,02-02-24,WFH
679,32,17-02-24,Absent
680,264,08-01-24,WFH
681,80,14-01-24,Absent
682,38,22-01-24,WFH
683,276,06-01-24,Absent
684,278,19-01-24,WFH
685,74,27-02-24,WFH
686,203,03-01-24,Present
687,169,21-01-24,WFH
688,238,11-01-24,WFH
689,318,01-03-24,WFH
690,30,28-02-24,WFH
691,126,24-02-24,WFH
692,343,22-02-24,Present
693,73,26-01-24,Present
694,408,03-01-24,WFH
695,386,10-02-24,WFH
696,434,02-01-24,Absent
697,498,10-02-24,Absent
698,176,22-01-24,Absent
699,453,18-02-24,WFH
